Line Number,Word Order,Word
77,632,χερσὶν
77,633,ἀρήξειν
78,634,78
78,635,ἦ
78,636,γὰρ
78,637,ὀΐω
78,638,ἄνδρα
78,639,χολωσέμεν
78,640,ὃς
78,641,μέγα
78,642,πάντων
79,643,79
79,644,Ἀργείων
79,645,κρατέει
79,646,καί
79,647,οἱ
79,648,πείθονται
79,649,Ἀχαιοί
80,650,80
80,651,κρείσσων
80,652,γὰρ
80,653,βασιλεὺς
80,654,ὅτε
80,655,χώσεται
80,656,ἀνδρὶ
80,657,χέρηϊ
81,658,81
81,659,εἴ
81,660,περ
81,661,γάρ
81,662,τε
81,663,χόλον
81,664,γε
81,665,καὶ
81,666,αὐτῆμαρ
81,667,καταπέψῃ
82,668,82
82,669,ἀλλά
82,670,τε
82,671,καὶ
82,672,μετόπισθεν
82,673,ἔχει
82,674,κότον
82,675,ὄφρα
82,676,τελέσσῃ
83,677,83
83,678,ἐν
83,679,στήθεσσιν
83,680,ἑοῖσι
83,681,σὺ
83,682,δὲ
83,683,φράσαι
83,684,εἴ
83,685,με
83,686,σαώσεις
84,687,84
84,688,Τὸν
84,689,δʼ
84,690,ἀπαμειβόμενος
84,691,προσέφη
84,692,πόδας
84,693,ὠκὺς
84,694,Ἀχιλλεύς
85,695,85
85,696,θαρσήσας
85,697,μάλα
85,698,εἰπὲ
85,699,θεοπρόπιον
85,700,ὅ
85,701,τι
85,702,οἶσθα
86,703,86
86,704,οὐ
86,705,μὰ
86,706,γὰρ
86,707,Ἀπόλλωνα
86,708,Διῒ
86,709,φίλον
86,710,ᾧ
86,711,τε
86,712,σὺ
86,713,Κάλχαν
87,714,87
87,715,εὐχόμενος
87,716,Δαναοῖσι
87,717,θεοπροπίας
87,718,ἀναφαίνεις
88,719,88
88,720,οὔ
88,721,τις
88,722,ἐμεῦ
88,723,ζῶντος
88,724,καὶ
88,725,ἐπὶ
88,726,χθονὶ
88,727,δερκομένοιο
89,728,89
89,729,σοὶ
89,730,κοίλῃς
89,731,παρὰ
89,732,νηυσὶ
89,733,βαρείας
89,734,χεῖρας
89,735,ἐποίσει
90,736,90
90,737,συμπάντων
90,738,Δαναῶν
90,739,οὐδʼ
90,740,ἢν
90,741,Ἀγαμέμνονα
90,742,εἴπῃς
91,743,91
91,744,ὃς
91,745,νῦν
91,746,πολλὸν
91,747,ἄριστος
91,748,Ἀχαιῶν
91,749,εὔχεται
91,750,εἶναι
92,751,92
92,752,Καὶ
92,753,τότε
92,754,δὴ
92,755,θάρσησε
92,756,καὶ
92,757,ηὔδα
92,758,μάντις
92,759,ἀμύμων
93,760,93
93,761,οὔ
93,762,τʼ
93,763,ἄρʼ
93,764,ὃ
93,765,γʼ
93,766,εὐχωλῆς
93,767,ἐπιμέμφεται
93,768,οὔθʼ
93,769,ἑκατόμβης
94,770,94
94,771,ἀλλʼ
94,772,ἕνεκʼ
94,773,ἀρητῆρος
94,774,ὃν
94,775,ἠτίμησʼ
94,776,Ἀγαμέμνων
95,777,95
95,778,οὐδʼ
95,779,ἀπέλυσε
95,780,θύγατρα
95,781,καὶ
95,782,οὐκ
95,783,ἀπεδέξατʼ
95,784,ἄποινα
96,785,96
96,786,τοὔνεκʼ
96,787,ἄρʼ
96,788,ἄλγεʼ
96,789,ἔδωκεν
96,790,ἑκηβόλος
96,791,ἠδʼ
96,792,ἔτι
96,793,δώσει
97,794,97
97,795,οὐδʼ
97,796,ὅ
97,797,γε
97,798,πρὶν
97,799,Δαναοῖσιν
97,800,ἀεικέα
97,801,λοιγὸν
97,802,ἀπώσει
98,803,98
98,804,πρίν
98,805,γʼ
98,806,ἀπὸ
98,807,πατρὶ
98,808,φίλῳ
98,809,δόμεναι
98,810,ἑλικώπιδα
98,811,κούρην
99,812,99
99,813,ἀπριάτην
99,814,ἀνάποινον
99,815,ἄγειν
99,816,θʼ
99,817,ἱερὴν
99,818,ἑκατόμβην
100,819,100
100,820,ἐς
100,821,Χρύσην
100,822,τότε
100,823,κέν
100,824,μιν
100,825,ἱλασσάμενοι
100,826,πεπίθοιμεν
